name,address,access,remarks,latitude,longitude
namcoウィングベイ小樽店,小樽市築港11番5号WING BAY OTARU1番街 3F,小樽築港駅徒歩2分,NL小樽店、PLABO小樽店とはいずれも違います。小樽のナムコ3店舗はいずれも閉店早いので注意,,
ディノスパーク帯広,帯広市白樺16条西2丁目2-5ドリームタウン白樺内,帯広駅からバス,,,
ディノスパーク帯広稲田,帯広市稲田町南8線西12-1スズランボウル内,帯広駅からバス,旧・セガワールドスズラン,,
ファンタジープラザ帯広店,帯広市西4条南12-3長﨑屋帯広店,,,,
ファンタジープラザ西帯広店,帯広市西21条南4-1MEGAドン・キホーテ西帯広店2F,,,,
ディノスパーク北見,北見市西三輪5丁目1-16,北見駅からバス西北見駅から徒歩も可,旧・ゲオパーク北見,,
BIGBANG北見店,北見市三輪町7丁目446-1,北見駅からバス,旧・セガワールド北見,,
ギャラクシーゲート星が浦,釧路市星が浦2丁目5,釧路駅からバス,旧・セガワールド星が浦,,
タイトーステーションイオンモール釧路昭和店,釧路市昭和中央4-18-1イオンモール釧路昭和2F,釧路駅からバス本数的にはGG星が浦より多いでしょう,,,
ハロータイトー釧路貝塚,釧路市貝塚3丁目2-28コープさっぽろ貝塚店内,,,,
モーリーファンタジー釧路昭和店,釧路市昭和中央4-18-1イオンモール釧路昭和2F,,,,
アミューズメントスペース遊ランド士別店,士別市大通東8丁目,士別駅徒歩11分,旧・スターボウル,,
PALO滝川店,滝川市東町2丁目19-1イオン滝川店内,滝川駅からバス,旧・らんらんらんど滝川店,,
BIGBANG滝川店,滝川市東町1丁目8-14,滝川駅からバス,,,
ディノスパーク伊達,伊達市末永町66-1,伊達紋別駅徒歩18分,旧・ゲオパーク伊達,,
アピナ新千歳空港店,千歳市美々1新千歳空港(国内線)旅客ターミナルビル4F,,,,
タイトーステーション千歳店,千歳市北栄2-12-5,,旧・セガワールド千歳,,
ディノスパーク苫小牧,苫小牧市柳町3丁目8-182イオンモール苫小牧2F,苫小牧駅から無料シャトルバスあり,,,
PALO苫小牧店,苫小牧市糸井135-1,,,,
ファンタジープラザ苫小牧店,苫小牧市木場町1丁目6-1MEGAドン・キホーテ苫小牧店2F,,,,
モーリーファンタジー苫小牧店,苫小牧市柳町3丁目8-182イオンモール苫小牧2F,,,,
モーリーファンタジー名寄店,名寄市字徳田80番地1イオン名寄ショッピングセンター2F,,,,
モーリーファンタジー登別店,登別市若山町4-33-1イオン登別店2F,,,,
ギャラクシーゲート函館,函館市昭和3丁目31-12,,,,
ディノスパーク函館昭和,函館市昭和3丁目24-18ゲオ函館昭和店内,,旧・ゲオパーク函館昭和,,
BIGBANG函館店,函館市梁川町9丁目3テキサス函館3F,,,,
モーリーファンタジー湯ノ川店,函館市湯川町3丁目14-5イオン湯川店1・2F,,旧・らんらんらんど湯ノ川店,,
ラウンドワンスタジアム函館店,函館市西桔梗町848-11,,,,
深川セントラルボウル,深川市音江町字豊泉3,深川市立病院からバス(深川駅からは出ていません）,毎週水曜定休日,,
アミューズメントスペース遊ランド富良野店,富良野市弥生町5-50,,旧・アミューズメントAER,,
キラキラAsobox函館七重浜店,北斗市七重浜7丁目15ー13七重浜ドン・キホーテ2F,,,,
ディノスパーク上磯,北斗市七重浜7丁目14番地1スーパーセンタートライアル上磯店内,,旧・アミューズメントシティトライアル上磯,,
モーリーファンタジー上磯店,北斗市七重浜4丁目44-1イオン上磯店1F,,旧・らんらんらんど上磯店,,
