name,address,access,remarks,latitude,longitude
ゲームセンターモンスター,鹿児島市荒田2-56-5,,,,
ファミリープラザめいわポニー,鹿児島市明和1-25-2,,,,
ファミリーランドポニータイヨー中山,鹿児島市中山町字後追31993,,,,
テクノパークミューズ,鹿児島市卸本町,,,,
タイヨー草牟田店,鹿児島市草牟田 2-19-22,,,,
山形屋,鹿児島市金生町 3-1,,,,
ゲームセンター電撃ベイサイド,鹿児島市浜町2番,鹿児島駅徒歩10分,旧：SWベイサイドプラザ,,
楽市楽座オプシアミスミ店,鹿児島市宇宿2丁目3番5号,鹿児島中央からバス,,,
サンアミューズ鹿屋店,鹿屋市札元2-3798,,,,
ファミリーランドポニーサンキュー寿,鹿屋市寿7丁目1-494 サンキュー寿店2F,,,,
プラッセだいわ鹿屋店ナムコランド,鹿屋市白崎町4-1プラッセだいわ鹿屋店3F,,,,
プレイランドポニー鹿屋店,鹿屋市本町,,,,
ファミリーランドポニー鹿屋店,鹿屋市,,,,
THE 3RD PLANET フレスポ国分店,霧島市国分広瀬2-4-1,,,,
ファミリーランドポニー新町店,霧島市国分新町980タイヨー新町店2F,,,,
ふぇすたらんど隼人店,霧島市隼人町見次545サンキュー隼人店1F,,,,
モーリーファンタジー隼人国分店,霧島市隼人町見次1229イオン隼人国分店2F,,旧：ダイナレックス…,,
G-pala隼人,霧島市隼人町見次532-8,隼人駅徒歩9分,旧：セガワールド国分ただし公安の許可証は「G-pala国分」,,
サンアミューズＧ２店,薩摩川内市永利町777 パワーランド川内内,空港バイパス沿いバスでも行けなくはないようです,,,
プラッセ川内店ナムコランド,薩摩川内市矢倉4213-1プラッセ川内店2F,,,,
ファミリーランドポニー永利店,薩摩川内市永利町712タイヨー永利店,,,,
プレイランドポニーダイワ向田店,薩摩川内市西向田町13-30,,地図では､プラッセ食品館向田店西向田町15-10 のタイヨー川内店では？,,
モーリーファンタジー姶良店,姶良市東餅田336イオン姶良店3F,,旧：ダイナレックス…,,
ふぇすたらんど重富,姶良市平松3675-1タイヨー重富店内,,,,
ふぇすたらんど西加治木,姶良市加治木町木田159番地2タイヨー西加治木店2F,,,,
プレイランドポニーダイワ阿久根,阿久根市鶴見町78,,,,
大和出水店,出水市本町 4-45,,,,
セガワールド出水,出水市六月田町347,HSOR出水駅からバス（「JRの出水駅」からは出ていません）,鹿児島に最後に残ったセガ,,
プラッセだいわ出水店ナムコランド,出水市本町4-45プラッセだいわ出水店内2F,,,,
ファミリーランドポニー北指宿,指宿市,,,,
ナムコランドプラッセだいわ指宿店,指宿市西方1675プラッセだいわ指宿2F,,,,
ファミリーランドポニータイヨー垂水,垂水市中央町32,,,,
プレイランドサンキュウ西志布志,志布志市志布志町安楽,,,,
電遊パーク志布志店,志布志市志布志町安楽100-1,志布志高校の近く,,,
ファミリーランドポニータイヨー大口,伊佐市里,,,,
サンゲームス串木野店,いちき串木野市東塩田町1番地串木野ゴールデンボウル内,R3沿い。串木野駅徒歩3分,ボウリング場併設ですが8号です,,
プレイランドポニーダイワ宮之城,薩摩郡宮之城町屋地2056,,現・さつま町,,
サンゲームス鹿屋,肝属郡肝付町富山1008番地5,志布志駅前からバス,鹿屋市ではありません,,
アミューズジョイBOX,那覇市首里儀保町3-16,沖縄都市モノレール儀保駅から徒歩1分,,,
アミューズぽぱい虹咲店,那覇市鏡原町2-2,沖縄都市モノレール奥武山公園駅から徒歩1分,営業時間12:00～23:00,,
天久ファミリースポーツランド,那覇市字天久889,第一天久バス停から徒歩5分,,,
小禄ボウリング,那覇市鏡原町34-40,沖縄都市モノレール奥武山公園駅から徒歩6分,ボウリング場内ゲームコーナー,,
ゲームインナハII,那覇市松尾2-22-19,開南バス停から徒歩2分,ゲームインナハの姉妹店ビデオゲーム中心,,
国場りうぼう,那覇市国場703,寄宮中学校前バス停から徒歩3分,,,
サラダボウル,那覇市辻3-4-1,三重城バス停から徒歩8分,ボウリング場内ゲームコーナー,,
ジョイジャングル inスカイレーン,那覇市具志875那覇空港ボウルスカイレーン内,那覇バス具志営業所から徒歩5分,ボウリング場内ゲームコーナー。2011年4月開店,,
TSUTAYA首里店 アミューズメントコーナー,那覇市首里久場川町2-122-1首里りうぼう1F,沖縄都市モノレール首里駅から徒歩5分首里りうぼう前バス停前,,,
namco那覇メインプレイス店,那覇市おもろまち4-4-9サンエー那覇メインプレイス2F,沖縄都市モノレールおもろまち駅から徒歩5分おもろまち一丁目バス停前,2012年9月24日ナムコランド那覇店から店名変更沖縄では初めての「namco」店名です。,,
マンガ倉庫那覇店 トレジャーハンター,那覇市高良3-1-12,沖縄都市モノレール赤嶺駅から徒歩3分,営業時間9:00～24:00（マンガ倉庫は24時間営業）メダルゲーム・MJ・WCCF・三国志大戦等設置,,
モーリーファンタジー 那覇店,那覇市金城5-10-2イオン那覇ショッピングセンター3F,沖縄都市モノレール小禄駅前,,,
ゲオパークコザミュージックタウン,沖縄市上地1-1-1コザミュージックタウン内,胡屋バス停から徒歩2分,有料駐車場有、ゲオパーク利用者は2時間無料,,
コザボウリングセンター,沖縄市中央3-5-39,胡屋バス停から徒歩5分,ボウリング場内ゲームコーナー,,
ドラゴンボウル,沖縄市登川2450,沖縄市農民研修センター前バス停から徒歩3分,ボウリング場内ゲームコーナー,,
ナムコランド 沖縄店,沖縄市池原5-1-24T.T BOWL沖縄(旧：スーパーボウルGX)内,池原団地前バス停前,ボウリング場内ゲームコーナーですが8号です。2009年7月1日プリッズ沖縄店から店名変更,,
マンガ倉庫泡瀬店,沖縄市与儀571,県総合運動公園前バス停から徒歩1分与儀バス停から徒歩約10分,2011年9月メダルコーナーオープン営業時間9:00～24:00（マンガ倉庫は24時間営業）,,
和合ファミリーランド,沖縄市照屋1-13-5,コザバス停から徒歩2分,会員制アミューズメント105円/15分店舗ブログ,,
サンエー具志川メインシティアミューズメントコーナー,うるま市江洲450-1サンエー具志川メインシティ1F,第一江洲バス停前江洲バス停から徒歩5分,旧：H/T具志川。タイトー沖縄撤退時に別OPへ営業譲渡営業時間9:00～24:00,,
ジョイジャングル,うるま市勝連南風原5111サンエー与勝シティ内,水井原バス停前,小規模スペース営業時間9:00～24:00,,
ジョイジャングル 田場店,うるま市田場1953-1ザ・ビッグ田場店内,具志川バスターミナルから徒歩1分,小規模スペース営業時間10:00～22:00,,
トイパラダイス具志川店,うるま市みどり町4-8-1,具志川商業高校入口バス停から徒歩1分安慶名バス停から徒歩6分,おもちゃ店内ゲームコーナー,,
ナムコランド 具志川店,うるま市前原幸崎原303イオン具志川ショッピングセンター2F,ジャスコ具志川入口バス停前東陽バス泡瀬営業所から徒歩3分,店内2F北側。営業時間10:00～24:00,,
ファンタジーアイランド 具志川店,うるま市前原幸崎原303イオン具志川ショッピングセンター2F,上に同じ,店内2F南側。営業時間10:00～22:00,,
ジョイジャングル 経塚店,浦添市経塚652-1サンエー経塚シティ2F,沖縄療育園前バス停から徒歩2分経塚バス停から徒歩3分,営業時間9:00～23:30プライズ・メダルゲーム中心、音ゲーは太鼓の達人のみ,,
T.T BOWLてだこ,浦添市伊祖2-9-2,伊祖入口バス停前(国道330号)大平バス停から徒歩6分,ボウリング場内ゲームコーナー旧：マスターズボウルてだこ,,
ミルキーランド マチナト店,浦添市城間2008-1サンエーマチナトショッピングセンター2階,第二城間バス停から徒歩1分,旧：T/Pマチナト。タイトー沖縄撤退時に別OPへ営業譲渡プライズ中心。音ゲー無し,,
らんらんらんど 浦添店,浦添市城間4-7-1浦添ショッピングセンター3F,城間三丁目バス停から徒歩1分第二城間バス停から徒歩4分,プライズ・メダルが中心,,
リトルパーク西原,浦添市当山2-2-3バークレーズコート ゲオ西原店内,総領事館前バス停前,営業時間10:00～25:30プライズ・音ゲー・麻雀格闘倶楽部等設置,,
アミューズメントスペースイーグル,宜野湾市真栄原2-12-5,第二真栄原バス停から徒歩1分,,,
ガリバー宜野湾店,宜野湾市上原2-11-5TSUTAYA宜野湾上原店2F,上原バス停から徒歩3分,営業時間10:00～23:50トータルアミューズメント・ガリバー系列店。店舗ブログ,,
ギノワンボウル,宜野湾市我如古4-6-7,佐真下バス停から徒歩3分,ボウリング場内ゲームコーナー,,
ゲームランド ジョイキャッスル,宜野湾市宇地泊558-10サンエー宜野湾コンベンションシティ2F,兼久原バス停から徒歩1～3分コンベンションセンター前バス停から徒歩約10分,2012年7月5日オープンプライズ・メダルゲーム中心,,
ラウンドワンスタジアム沖縄・宜野湾店,宜野湾市真志喜3-28-8,真志喜中学校前バス停から徒歩4分コンベンションセンター前バス停から徒歩約10分沖縄都市モノレールおもろまち駅から無料シャトルバス有り,16歳未満の入場は保護者同伴に限り可,,
カヌチャベイホテル＆ヴィラズ,名護市字安部156-2,三原バス停から徒歩約15分,ホテル内ゲームコーナー。営業時間8:00～24:00,,
キタボウリングセンター,名護市城2-11-20,東江バス停から徒歩5分,ボウリング場内ゲームコーナー,,
名桜ボウル,名護市字宇茂佐1703-8,ワタンジャ原バス停前,ボウリング場内ゲームコーナー,,
モーリーファンタジー名護店,名護市名護見取川原4472イオン名護ショッピングセンター1F,第二名座喜原バス停から徒歩約20分名護バスターミナルから徒歩約30分,旧：ファンタジーアイランド ジャスコ名護店,,
リトルパーク名護,名護市東江5-22-25 ゲオ名護店内,世冨慶バス停前,,,
イオンタウンとよみ店 ゲームコーナー,豊見城市字根差部710,イオンタウンとよみ前バス停前,,,
ジョイジャングル,豊見城市字翁長744-1サンエー糸満ロードショッピングセンター2F,翁長バス停前,営業時間9:00～24:00,,
ジョイジャングル ウイングシティ店,豊見城市字高安261-2サンエー豊見城ウイングシティ2F,総合公園前バス停から徒歩1分豊見城中央公民館前バス停から徒歩3分,旧：ナムコランド豊見城店,,
ジョイジャングル inとみとん,豊見城市豊崎1-411豊崎ライフスタイルセンターTOMITON2F,豊崎入口バス停前豊見城南高校前バス停から徒歩約15分,営業時間10:00～22:00,,
瀬長島ファミリーランド,豊見城市字瀬長155,那覇バス具志営業所から徒歩約15分,,,
ゲームスポット プラネット,糸満市西崎6丁目18-11F,西崎入口バス停から徒歩5分,,,
サンエーしおざきシティアミューズメントコーナー,糸満市潮崎町2-2サンエーしおざきシティ1F,潮崎二丁目バス停前糸満市役所入口バス停から徒歩8分,旧：H/Tしおざき。タイトー沖縄撤退時に別OPへ営業譲渡,,
らんらんらんど 糸満店,糸満市兼城400番地サンプラザ糸満内,西崎入口バス停から徒歩3分,,,
ゲーム王国,南城市大里字高平高宮城原97-2イオンタウン南城大里1F,南小学校前バス停から徒歩1分,2012年11月23日オープン。営業時間9:00～22:00プライズ・メダルゲーム中心,,
沖縄かりゆしビーチリゾート・オーシャンスパ ゲームプラザ,国頭郡恩納村名嘉真ヤーシ原2591-1ウィングタワー地下1F,伊武部バス停から徒歩7分,ホテル内ゲームコーナー。営業時間10:00～24:00(季節変動あり)プライズ・メダルゲーム・太鼓の達人・エアホッケー等設置,,
サンマリーナホテル クラブアミューズメント,国頭郡恩納村字冨着66-1 2F,サンマリーナホテル前バス停から徒歩1分,ホテル内ゲームコーナー。営業時間10:00～24:00,,
リザンシーパークホテル谷茶ベイ,国頭郡恩納村字谷茶1496,谷茶の丘バス停から徒歩4分,ホテル内ゲームコーナー。営業時間8:00～24:00,,
チサンリゾート沖縄美ら海,国頭郡本部町字石川938,石川入口バス停から徒歩2分,ホテル内ゲームコーナー,,
ホテルマハイナウェルネスリゾートオキナワ,国頭郡本部町字山川1456,南ゲートバス停から徒歩5分,ホテル内ゲームコーナー,,
アミューズメントドラパレ,中頭郡北谷町美浜15-68,美浜アメリカンビレッジ北口バス停から徒歩1分桑江バス停から徒歩6分,,,
クラブセガ北谷,中頭郡北谷町美浜9-8シーサイドスクエア1F,美浜アメリカンビレッジ北口バス停から徒歩2分桑江バス停から徒歩7分,美浜アメリカンビレッジ内最南端、最西端セガのお店,,
ジョイジャングル ハンビー店,中頭郡北谷町北前1-2-3サンエーハンビータウン2F,ハンビータウン前バス停前北谷バス停から徒歩約10分,旧：ミルキーランド ハンビータウン店2013年3月16日リニューアルオープン,,
